text,label
"The drainage system on MG Road is completely blocked and water is overflowing onto the street. Every time it rains, our shops get flooded. This has been going on for weeks now.",issue
"The drainage system on MG Road is completely blocked and the water overflows on the street. Every time it rains, our shops are flooded. This has been going on for weeks now.",issue
"The drainage system on MG Road is blocked completely and water is overflowing onto the street. Every time it rains, our shops get flooded. This has been going on for weeks now.",issue
I think the new education policy will really help students in the long run. More focus on practical skills is exactly what we need in today's world.,not_issue
I think the new education policy will really help students in the long term. More focus on practical skills is exactly what we need in today's world.,not_issue
I think the new education policy testament really help students in the long run. More focus on practical skills is exactly what we need in today's world.,not_issue
I think the new education policy will help really students in the long run. More focus on practical skills is exactly what we need in today's world.,not_issue
There's a massive pothole right outside the SBI bank on Station Road. Two bikes have already fallen into it this week. Someone needs to fix this urgently.,issue
There's a huge pothole just outside SBI Bank on Station Road. Two bikes have already fallen into it this week. Someone needs to fix this urgently.,issue
There's a monolithic pothole right outside the SBI bank on Station Road. Two bikes have already fallen into it this week. Someone needs to fix this urgently.,issue
a There's massive pothole right outside the SBI bank on Station Road. Two bikes have already fallen into it this week. Someone needs to fix this urgently.,issue
Did anyone watch the match last night? What a performance by Kohli! India really dominated the entire game from start to finish.,not_issue
Did anyone watch the game last night? What a performance by Kohli! India really dominated the whole game from start to finish.,not_issue
Did anyone watch the match last night? What a performance by Kohli! India really dominated the entire game from begin to finish.,not_issue
Did anyone watch the match last night? What a performance by Kohli! India dominated really the entire game from start to finish.,not_issue
"The streetlights on Nehru Colony main road have been out for over a month. It's getting really dangerous to walk here after sunset, especially for women and elderly people.",issue
"The streetlights on Nehru Colony's main road have been out for more than a month. It's really dangerous to walk here after sunset, especially for women and the elderly.",issue
"The streetlights on Nehru Colony main road have been out for over a month. It's getting really unsafe to walk here after sunset, especially for women and elderly people.",issue
"streetlights The on Nehru Colony main road have been out for over a month. It's getting really dangerous to walk here after sunset, especially for women and elderly people.",issue
I personally believe that social media is changing how we communicate with each other. Sometimes I wonder if we're losing touch with real human connections.,not_issue
I personally believe that social media is changing the way we communicate with each other. Sometimes I wonder if we lose contact with real human ties.,not_issue
I personally believe that social media is changing how we communicate with each other. I Sometimes wonder if we're losing touch with real human connections.,not_issue
Garbage collection in our area hasn't happened for the past five days. The bins are overflowing and there's a terrible smell. Dogs are spreading the waste everywhere.,issue
The garbage collection in our area has not taken place in five days. The garbage is overflowing and there is a terrible smell. Dogs spread waste everywhere.,issue
